"respondent","i","j","type","weight"
1400301,1400301,1400201,"borrowmoney",1
1400302,1400302,1400502,"borrowmoney",1
1400303,1400303,1400308,"borrowmoney",1
1400304,1400304,1400402,"borrowmoney",1
1400308,1400308,1402603,"borrowmoney",1
1400309,1400309,1401202,"borrowmoney",1
1400701,1400701,1400803,"borrowmoney",1
1400702,1400702,1413002,"borrowmoney",1
1400801,1400801,1412501,"borrowmoney",1
1400802,1400802,1412501,"borrowmoney",1
1400803,1400803,1400701,"borrowmoney",1
1400804,1400804,1400901,"borrowmoney",1
1400901,1400901,1400803,"borrowmoney",1
1400902,1400902,1400804,"borrowmoney",1
1401301,1401301,1401101,"borrowmoney",1
1401302,1401302,1401701,"borrowmoney",1
1401303,1401303,1401306,"borrowmoney",1
1401401,1401401,1400401,"borrowmoney",1
1401701,1401701,1402001,"borrowmoney",1
1401702,1401702,1404702,"borrowmoney",1
1401703,1401703,1400102,"borrowmoney",1
1401704,1401704,1400102,"borrowmoney",1
1401901,1401901,1401902,"borrowmoney",1
1401902,1401902,1401901,"borrowmoney",1
1401903,1401903,1401901,"borrowmoney",1
1402001,1402001,1406503,"borrowmoney",1
1402002,1402002,1401502,"borrowmoney",1
1402101,1402101,1413103,"borrowmoney",1
1402102,1402102,1402502,"borrowmoney",1
1402201,1402201,1403901,"borrowmoney",1
1402202,1402202,1402502,"borrowmoney",1
1402301,1402301,1402201,"borrowmoney",1
1402302,1402302,1402502,"borrowmoney",1
1402303,1402303,1402202,"borrowmoney",1
1402501,1402501,1403901,"borrowmoney",1
1402502,1402502,1412402,"borrowmoney",1
1402901,1402901,1413101,"borrowmoney",1
1402904,1402904,1405601,"borrowmoney",1
1402905,1402905,1406601,"borrowmoney",1
1403101,1403101,1403001,"borrowmoney",1
1403102,1403102,1403602,"borrowmoney",1
1403103,1403103,1400401,"borrowmoney",1
1403104,1403104,1403002,"borrowmoney",1
1403301,1403301,1403603,"borrowmoney",1
1403302,1403302,1403101,"borrowmoney",1
1403601,1403601,1414106,"borrowmoney",1
1403602,1403602,1403702,"borrowmoney",1
1403603,1403603,1403501,"borrowmoney",1
1403701,1403701,1403901,"borrowmoney",1
1403702,1403702,1402002,"borrowmoney",1
1403901,1403901,1402501,"borrowmoney",1
1403902,1403902,1402502,"borrowmoney",1
1404001,1404001,1402501,"borrowmoney",1
1404002,1404002,1402502,"borrowmoney",1
1404006,1404006,1404102,"borrowmoney",1
1404101,1404101,1402501,"borrowmoney",1
1404102,1404102,1412902,"borrowmoney",1
1404201,1404201,1412601,"borrowmoney",1
1404202,1404202,1406902,"borrowmoney",1
1404401,1404401,1404601,"borrowmoney",1
1404402,1404402,1412902,"borrowmoney",1
1404403,1404403,1404601,"borrowmoney",1
