"pid","hhid","ppid","gender","age","resp_status","religion","caste","didsurv"
"1500101",15001,1,"Male",50,"Head of Household","HINDUISM","OBC",1
"1500102",15001,2,"Female",40,"Spouse of Head of Household","HINDUISM","OBC",1
"1500103",15001,3,"Male",20,NA,NA,NA,NA
"1500201",15002,1,"Male",50,NA,NA,NA,NA
"1500202",15002,2,"Female",45,NA,NA,NA,NA
"1500203",15002,3,"Male",24,NA,NA,NA,NA
"1500204",15002,4,"Male",22,NA,NA,NA,NA
"1500301",15003,1,"Male",60,"Head of Household","HINDUISM","OBC",1
"1500302",15003,2,"Female",50,"Spouse of Head of Household","HINDUISM","OBC",1
"1500303",15003,3,"Male",33,"Other","HINDUISM","OBC",1
"1500304",15003,4,"Female",25,"Spouse of Head of Household","HINDUISM","OBC",1
"1500305",15003,5,"Male",7,NA,NA,NA,NA
"1500306",15003,6,"Male",4,NA,NA,NA,NA
"1500307",15003,7,"Male",27,NA,NA,NA,NA
"1500401",15004,1,"Female",38,"Head of Household","HINDUISM","OBC",1
"1500402",15004,2,"Male",22,"Head of Household","HINDUISM","OBC",1
"1500403",15004,3,"Female",12,NA,NA,NA,NA
"1500501",15005,1,"Male",62,"Head of Household","HINDUISM","OBC",1
"1500502",15005,2,"Female",50,"Spouse of Head of Household","HINDUISM","SCHEDULED CASTE",1
"1500601",15006,1,"Male",55,NA,NA,NA,NA
"1500602",15006,2,"Female",48,NA,NA,NA,NA
"1500603",15006,3,"Male",25,NA,NA,NA,NA
"1500604",15006,4,"Female",20,NA,NA,NA,NA
"1500605",15006,5,"Female",3,NA,NA,NA,NA
"1500701",15007,1,"Male",45,"Head of Household","HINDUISM","OBC",1
"1500702",15007,2,"Female",40,"Spouse of Head of Household","HINDUISM","OBC",1
"1500703",15007,3,"Male",22,NA,NA,NA,NA
"1500704",15007,4,"Male",38,"Other","HINDUISM","OBC",1
"1500705",15007,5,"Female",30,"Other","HINDUISM","OBC",1
"1500706",15007,6,"Female",13,NA,NA,NA,NA
"1500707",15007,7,"Male",11,NA,NA,NA,NA
"1500708",15007,8,"Male",35,"Other","HINDUISM","OBC",1
"1500709",15007,9,"Female",30,"Other","HINDUISM","OBC",1
"1500710",15007,10,"Female",11,NA,NA,NA,NA
"1500711",15007,11,"Male",7,NA,NA,NA,NA
"1500712",15007,12,"Female",55,NA,NA,NA,NA
"1500713",15007,13,"Female",28,"Other","HINDUISM","OBC",1
"1500801",15008,1,"Male",35,NA,NA,NA,NA
"1500802",15008,2,"Female",32,"Spouse of Head of Household","HINDUISM","SCHEDULED TRIBE",1
"1500803",15008,3,"Female",13,NA,NA,NA,NA
"1500804",15008,4,"Male",10,NA,NA,NA,NA
"1500901",15009,1,"Male",65,"Head of Household","HINDUISM","SCHEDULED CASTE",1
"1500902",15009,2,"Female",50,"Spouse of Head of Household","HINDUISM","SCHEDULED CASTE",1
"1500903",15009,3,"Male",27,"Other","HINDUISM","SCHEDULED TRIBE",1
"1500904",15009,4,"Female",23,"Other","HINDUISM","SCHEDULED CASTE",1
"1500905",15009,5,"Male",8,NA,NA,NA,NA
"1501001",15010,1,"Male",30,"Head of Household","HINDUISM","OBC",1
"1501002",15010,2,"Female",25,"Spouse of Head of Household","HINDUISM","OBC",1
"1501003",15010,3,"Male",6,NA,NA,NA,NA
"1501004",15010,4,"Female",4,NA,NA,NA,NA
"1501005",15010,5,"Female",12,NA,NA,NA,NA
"1501101",15011,1,"Male",60,"Head of Household","ISLAM","SCHEDULED TRIBE",1
"1501102",15011,2,"Female",55,"Spouse of Head of Household","ISLAM","SCHEDULED TRIBE",1
"1501103",15011,3,"Male",30,NA,NA,NA,NA
"1501104",15011,4,"Female",25,NA,NA,NA,NA
"1501105",15011,5,"Female",8,NA,NA,NA,NA
"1501106",15011,6,"Male",5,NA,NA,NA,NA
"1501201",15012,1,"Male",40,"Head of Household","HINDUISM","SCHEDULED TRIBE",1
"1501202",15012,2,"Female",29,"Spouse of Head of Household","HINDUISM","SCHEDULED TRIBE",1
"1501203",15012,3,"Female",12,NA,NA,NA,NA
"1501204",15012,4,"Male",7,NA,NA,NA,NA
"1501301",15013,1,"Female",30,"Head of Household","HINDUISM","OBC",1
"1501401",15014,1,"Male",63,NA,NA,NA,NA
"1501402",15014,2,"Female",45,NA,NA,NA,NA
"1501403",15014,3,"Male",25,NA,NA,NA,NA
"1501404",15014,4,"Female",19,NA,NA,NA,NA
"1501405",15014,5,"Male",3,NA,NA,NA,NA
"1501501",15015,1,"Male",26,NA,NA,NA,NA
"1501502",15015,2,"Female",22,NA,NA,NA,NA
"1501503",15015,3,"Male",3,NA,NA,NA,NA
"1501601",15016,1,"Female",42,"Head of Household","HINDUISM","SCHEDULED TRIBE",1
"1501602",15016,2,"Male",20,NA,NA,NA,NA
"1501701",15017,1,"Male",40,"Head of Household","ISLAM","OBC",1
"1501702",15017,2,"Female",28,"Spouse of Head of Household","ISLAM","OBC",1
"1501703",15017,3,"Female",50,"Other","ISLAM","OBC",1
"1501801",15018,1,"Male",35,NA,NA,NA,NA
"1501802",15018,2,"Female",28,NA,NA,NA,NA
"1501803",15018,3,"Female",14,NA,NA,NA,NA
"1501804",15018,4,"Female",9,NA,NA,NA,NA
"1501805",15018,5,"Male",8,NA,NA,NA,NA
"1501806",15018,6,"Female",57,NA,NA,NA,NA
"1501901",15019,1,"Male",33,"Head of Household","HINDUISM","GENERAL",1
"1501902",15019,2,"Female",27,"Spouse of Head of Household","HINDUISM","OBC",1
"1501903",15019,3,"Female",11,NA,NA,NA,NA
"1501904",15019,4,"Female",7,NA,NA,NA,NA
"1502001",15020,1,"Male",65,"Head of Household","HINDUISM","GENERAL",1
"1502002",15020,2,"Female",55,"Spouse of Head of Household","HINDUISM","GENERAL",1
"1502003",15020,3,"Male",26,NA,NA,NA,NA
"1502004",15020,4,"Male",22,NA,NA,NA,NA
"1502005",15020,5,"Female",34,"Other","HINDUISM","GENERAL",1
"1502006",15020,6,"Male",17,NA,NA,NA,NA
"1502007",15020,7,"Female",14,NA,NA,NA,NA
"1502101",15021,1,"Male",55,NA,NA,NA,NA
"1502102",15021,2,"Female",45,NA,NA,NA,NA
"1502103",15021,3,"Male",25,NA,NA,NA,NA
"1502201",15022,1,"Male",60,NA,NA,NA,NA
"1502202",15022,2,"Female",55,NA,NA,NA,NA
"1502203",15022,3,"Male",30,NA,NA,NA,NA
"1502204",15022,4,"Female",25,NA,NA,NA,NA
"1502205",15022,5,"Male",28,NA,NA,NA,NA
"1502301",15023,1,"Male",31,NA,NA,NA,NA
"1502302",15023,2,"Female",25,NA,NA,NA,NA
"1502303",15023,3,"Female",5,NA,NA,NA,NA
"1502304",15023,4,"Male",3,NA,NA,NA,NA
"1502401",15024,1,"Male",48,NA,NA,NA,NA
"1502402",15024,2,"Female",43,NA,NA,NA,NA
"1502403",15024,3,"Female",22,NA,NA,NA,NA
"1502404",15024,4,"Male",20,NA,NA,NA,NA
"1502501",15025,1,"Male",40,NA,NA,NA,NA
"1502502",15025,2,"Female",30,NA,NA,NA,NA
"1502503",15025,3,"Female",29,NA,NA,NA,NA
"1502504",15025,4,"Male",17,NA,NA,NA,NA
"1502505",15025,5,"Female",4,NA,NA,NA,NA
"1502601",15026,1,"Male",40,NA,NA,NA,NA
"1502602",15026,2,"Female",35,NA,NA,NA,NA
"1502603",15026,3,"Female",30,NA,NA,NA,NA
"1502604",15026,4,"Male",9,NA,NA,NA,NA
"1502605",15026,5,"Female",4,NA,NA,NA,NA
"1502701",15027,1,"Male",60,"Head of Household","HINDUISM","OBC",1
"1502702",15027,2,"Female",55,"Spouse of Head of Household","HINDUISM","GENERAL",1
"1502703",15027,3,"Male",28,"Other","HINDUISM","GENERAL",1
"1502704",15027,4,"Female",25,NA,NA,NA,NA
"1502705",15027,5,"Male",18,NA,NA,NA,NA
"1502706",15027,6,"Female",16,NA,NA,NA,NA
"1502801",15028,1,"Male",35,NA,NA,NA,NA
"1502802",15028,2,"Female",28,NA,NA,NA,NA
"1502803",15028,3,"Male",11,NA,NA,NA,NA
